1993,scans,0,DataLength,,,,,,,
header,20,lines,,,,,,,,
Date,23/07/2018,Time,13:47:01,,,,,,,
ID,HAL RC RGA 101 #15508,Version,3,,,,,,,
Scans,1,,,,,,,,,
Scan ID,Mode,Input,Scanned,Start,Stop,Increment,Dwell,Settle,RS,RelSEM
Scan 1,RGA,SEM,mass,0.4,100,0.05,100.00%,100.00%,1,1
Environment,,,,,,,,,,
Global,RGA,,,,,,,,,
F1,1,"( 1 = on, 0 = off )",,,,,,,,
F2,0,"( 1 = on, 0 = off )",,,,,,,,
cage,3,V,,,,,,,,
delta-m,0,%,,,,,,,,
electron-energy,70,V,,,,,,,,
emission,1000,uA,,,,,,,,
focus,-90,V,,,,,,,,
mass,5.5,amu,,,,,,,,
mode-change-delay,1000,ms,,,,,,,,
multiplier,800,V,,,,,,,,
resolution,0,%,,,,,,,,
Data,1,,,,,,,,,
Cycle,Time,ms,mass amu,SEM Ie(Amps),,,,,,
1,00:00:28,28242,18.1,7.31E-12,,,,,,
1,00:00:28,28242,18.15,6.93E-12,,,,,,
1,00:00:28,28242,18.2,7.15E-12,,,,,,
1,00:00:28,28242,18.25,6.15E-12,,,,,,
1,00:00:28,28242,18.3,6.34E-12,,,,,,
1,00:00:28,28242,18.35,4.78E-12,,,,,,
1,00:00:28,28242,18.4,3.66E-12,,,,,,
1,00:00:28,28242,18.45,1.08E-12,,,,,,
1,00:00:28,28242,18.5,1.13E-12,,,,,,
1,00:00:28,28242,18.55,1.29E-12,,,,,,
1,00:00:28,28242,18.6,1.29E-12,,,,,,
1,00:00:28,28242,18.65,1.16E-12,,,,,,
1,00:00:28,28242,18.7,1.16E-12,,,,,,
1,00:00:28,28242,18.75,1.51E-12,,,,,,
1,00:00:28,28242,18.8,8.87E-13,,,,,,
1,00:00:28,28242,18.85,1.48E-12,,,,,,
1,00:00:28,28242,18.9,1.37E-12,,,,,,
1,00:00:28,28242,18.95,1.18E-12,,,,,,
1,00:00:28,28242,19,1.51E-12,,,,,,
1,00:00:28,28242,19.05,1.10E-12,,,,,,
1,00:00:28,28242,19.1,1.51E-12,,,,,,
1,00:00:28,28242,19.15,1.29E-12,,,,,,
1,00:00:28,28242,19.2,1.56E-12,,,,,,
1,00:00:28,28242,19.25,1.40E-12,,,,,,
1,00:00:28,28242,19.3,1.32E-12,,,,,,
1,00:00:28,28242,19.35,9.68E-13,,,,,,
1,00:00:28,28242,19.4,1.16E-12,,,,,,
1,00:00:28,28242,19.45,1.26E-12,,,,,,
1,00:00:28,28242,19.5,9.41E-13,,,,,,
1,00:00:28,28242,19.55,1.02E-12,,,,,,
1,00:00:28,28242,19.6,5.91E-13,,,,,,
1,00:00:28,28242,19.65,1.21E-12,,,,,,
1,00:00:28,28242,19.7,9.41E-13,,,,,,
1,00:00:28,28242,19.75,1.10E-12,,,,,,
1,00:00:28,28242,19.8,1.16E-12,,,,,,
1,00:00:28,28242,19.85,1.13E-12,,,,,,
1,00:00:28,28242,19.9,1.24E-12,,,,,,
1,00:00:28,28242,19.95,1.16E-12,,,,,,
1,00:00:28,28242,20,1.05E-12,,,,,,
1,00:00:28,28242,20.05,1.05E-12,,,,,,
1,00:00:28,28242,20.1,1.05E-12,,,,,,
1,00:00:28,28242,20.15,7.26E-13,,,,,,
1,00:00:28,28242,20.2,1.40E-12,,,,,,
